CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist,UT Email,Message
40502,,,,,,BIOL,1300,40,Evolution & Ecology,O01,A,LEC,I,1,1,1,BA,,,,,39,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
40040,,,,,,BIOL,1610,01,Principles of Biology I (LS),A01,A,LEC,P,1,4,4,BA,,MTWRF,0800,0850,123,0,10,0,COE,121,,,
41280,,,,,,BIOL,1610,02,Principles of Biology I (LS),A01,A,LEC,P,1,4,4,BA,,MTWF,1000,1050,59,0,10,0,SET,105,,,"Fulfills General Education Life Sciences requirement. Introductory course required of all Biology majors, including pre-health science, pre-nursing, pre-veterinary, pre-medical, pre-dental, and other pre-professional students. Emphasizes the scientific method; cell processes, including basic chemistry, cellular level structure, and function; and the principles of inheritance, evolution and ecology. Fulfills prerequisite to most other Biology courses. This course was selected to participate in Dixie State University's Supplemental Instruction (SI) Program. This course adds one weekly class SI session but does not increase credit hours. SI is a series of weekly review sessions, led by peer SI leaders and designed to help students succeed in their academic pursuits. SI is provided for students who want to improve their understanding of course material and improve their grades. Inclusive Access Course Material fees may apply, see Fees tab under each course section for details. **COURSE LEARNING OUTCOMES (CLOs) At the successful conclusion of this course, students will be able to: 1. Identify the scientific method, including asking testable questions, forming hypotheses, and using experimental design to evaluate hypotheses. 2. Describe and apply concepts related to the chemistry of life, cell theory, the genetic basis for life, evolution, and ecology. 3. Apply information literacy skills including effectively locating, evaluating, and communicating scientific information."
41781,,,,,,BIOL,1610,04,Principles of Biology I (LS),A01,A,LEC,P,1,4,4,BA,,TR,1300,1440,52,0,10,0,SET,106,,,
40753,,,,,,BIOL,1610,40,Principles of Biology I (LS),O01,A,LEC,I,1,4,4,BA,,,,,55,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
40858,,,,,,BIOL,1610,80J,Principles of Biology I (LS),C01,A,LEC,P,Y,4,4,SF,,,,,30,0,10,0,,,,,
41208,,,,,,BIOL,1610,81J,Principles of Biology I (LS),C02,A,LEC,P,Y,4,4,SF,,,,,60,0,10,0,,,,,
40727,,,,,,BIOL,1610,88J,Principles of Biology I (LS),C13,A,LEC,P,Y,4,4,SF,,,,,75,0,10,0,,,,,
42994,,,,,,BIOL,1615,01,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,F,1100,1350,22,0,10,0,SET,309,,,
40050,,,,,,BIOL,1615,02,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,W,0800,1050,23,0,10,0,SET,309,,,
40051,,,,,,BIOL,1615,03,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,T,1100,1350,24,0,10,0,SET,309,,,
40052,,,,,,BIOL,1615,04,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,W,1100,1350,24,0,10,0,SET,309,,,
40053,,,,,,BIOL,1615,05,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,R,1100,1350,24,0,10,0,SET,309,,,
40054,,,,,,BIOL,1615,07,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,T,1400,1650,24,0,10,0,SET,309,,,
40055,,,,,,BIOL,1615,08,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,W,1400,1650,23,0,10,0,SET,309,,,
40056,,,,,,BIOL,1615,09,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,R,1400,1650,23,0,10,0,SET,309,,,
43059,,,,,,BIOL,1615,10,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,R,0800,1050,23,0,10,0,SET,309,,,
43060,,,,,,BIOL,1615,11,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,F,1400,1630,23,0,10,0,SET,309,,,
42995,,,,,,BIOL,1615,50,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,W,1700,1950,24,0,10,0,SET,309,,,
40057,,,,,,BIOL,1615,51,Principles of Biology I Lab,A01,A,LBC,P,1,1,3,BA,,T,1700,1950,15,0,10,0,SET,309,,,
40859,,,,,,BIOL,1615,80J,Principles of Biology I Lab,C01,A,LBC,P,Y,1,3,SF,,,,,50,0,10,0,,,,,
41209,,,,,,BIOL,1615,81J,Principles of Biology I Lab,C02,A,LBC,P,Y,1,3,SF,,,,,60,0,10,0,,,,,
40728,,,,,,BIOL,1615,88J,Principles of Biology I Lab,C13,A,LBC,P,Y,1,3,SF,,,,,70,0,10,0,,,,,
40179,,,,,,BIOL,1620,01,Principles of Biology II,A01,A,LEC,P,1,4,4,BA,,MWRF,0900,0950,60,0,10,0,SET,106,,,
40310,,,,,,BIOL,1620,02,Principles of Biology II,A01,A,LEC,P,1,4,4,BA,,MTWF,1100,1150,59,0,10,0,SET,105,,,
40180,,,,,,BIOL,1625,01,Principles of Biology II Lab,A01,A,LBC,P,1,1,3,BA,,W,1200,1450,24,0,10,0,SET,318,,,
40181,,,,,,BIOL,1625,02,Principles of Biology II Lab,A01,A,LBC,P,1,1,3,BA,,R,1500,1750,24,0,10,0,SET,318,,,
41921,,,,,,BIOL,1625,03,Principles of Biology II Lab,A01,A,LBC,P,1,1,3,BA,,R,1000,1250,24,0,10,0,SET,318,,,
40311,,,,,,BIOL,1625,50,Principles of Biology II Lab,A01,A,LBC,P,1,1,3,BA,,W,1700,1950,23,0,10,0,SET,318,,,
40058,,,,,,BIOL,2060,01,Principles of Microbiology,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,40,0,10,0,SNOW,128,,,
41682,,,,,,BIOL,2060,40,Principles of Microbiology,O01,A,LEC,I,1,3,3,BA,,,,,40,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit.
"
40059,,,,,,BIOL,2065,01,Principles of Microbiology Lab,A01,A,LBC,P,1,1,3,BA,,MW,1400,1530,24,0,10,0,SET,304,,,
41524,,,,,,BIOL,2065,02,Principles of Microbiology Lab,A01,A,LBC,P,1,1,3,BA,,MW,1600,1730,24,0,10,0,SET,304,,,
43018,,,,,,BIOL,2065,03,Principles of Microbiology Lab,A01,A,LBC,P,1,1,3,BA,,TR,1630,1800,24,0,10,0,SET,304,,,
40061,,,,,,BIOL,2320,02,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,30,0,10,0,COE,121,,,
40533,,,,,,BIOL,2320,03,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,T,1200,1250,30,0,10,0,UHB,204,,,"For students pursuing health science fields, including pre-allied health, pre-nursing, pre-physical therapy, pre-dental, pre-medical, and many others. Examines the structures of the human body, including muscles, nerves, blood supply, bones, lymph, internal organs, and reproductive anatomy. Includes lectures supplemented with laboratory examinations of cadavers and physical and virtual models. Successful completers will have advanced familiarity with the nomenclature and locations of structures in the human body. This course was selected to participate in Dixie State University's Supplemental Instruction (SI) Program. This course adds one weekly class SI session but does not increase credit hours. SI is a series of weekly review sessions, led by peer SI leaders and designed to help students succeed in their academic pursuits. SI is provided for students who want to improve their understanding of course material and improve their grades. Successful completion of BIOL 1010, BIOL 1610, or equivalent recommended prior to enrolling. **COURSE LEARNING OUTCOMES (CLOs) At the successful conclusion of this course, students will be able to: 1. Identify structures of the human body on cadavers and models. 2. Explain certain medically important concepts. 3. Apply knowledge of the body in future courses and/or occupations. 4. Identify structures of the human body in all regions, including muscles, with some origins and insertions, ligaments and tendons, bones with some anatomical landmarks, organ systems, circulatory routes, and certain neurological pathways of both the central and peripheral nervous system."
40533,,,,,,BIOL,2320,03,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,30,0,10,0,COE,121,,,"For students pursuing health science fields, including pre-allied health, pre-nursing, pre-physical therapy, pre-dental, pre-medical, and many others. Examines the structures of the human body, including muscles, nerves, blood supply, bones, lymph, internal organs, and reproductive anatomy. Includes lectures supplemented with laboratory examinations of cadavers and physical and virtual models. Successful completers will have advanced familiarity with the nomenclature and locations of structures in the human body. This course was selected to participate in Dixie State University's Supplemental Instruction (SI) Program. This course adds one weekly class SI session but does not increase credit hours. SI is a series of weekly review sessions, led by peer SI leaders and designed to help students succeed in their academic pursuits. SI is provided for students who want to improve their understanding of course material and improve their grades. Successful completion of BIOL 1010, BIOL 1610, or equivalent recommended prior to enrolling. **COURSE LEARNING OUTCOMES (CLOs) At the successful conclusion of this course, students will be able to: 1. Identify structures of the human body on cadavers and models. 2. Explain certain medically important concepts. 3. Apply knowledge of the body in future courses and/or occupations. 4. Identify structures of the human body in all regions, including muscles, with some origins and insertions, ligaments and tendons, bones with some anatomical landmarks, organ systems, circulatory routes, and certain neurological pathways of both the central and peripheral nervous system."
40532,,,,,,BIOL,2320,04,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,72,0,10,0,SET,105,,,
42746,,,,,,BIOL,2320,06,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,30,0,10,0,SET,106,,,
41395,,,,,,BIOL,2320,07,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,74,0,10,0,COE,121,,,"This course was selected to participate in Dixie State University's Supplemental Instruction (SI) Program. This course adds one weekly class SI session but does not increase credit hours. SI is a series of weekly review sessions, led by peer SI leaders and designed to help students succeed in their academic pursuits. SI is provided for students who want to improve their understanding of course material and improve their grades."
41621,,,,,,BIOL,2320,08,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,72,0,10,0,SET,105,,,
42793,,,,,,BIOL,2320,09,Human Anatomy,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,30,0,20,0,COE,121,,,
41468,,,,,,BIOL,2320,40,Human Anatomy,O01,A,LEC,I,1,3,3,BA,,,,,52,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
40062,,,,,,BIOL,2325,01,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,0600,0750,23,0,10,0,SET,213,,,
40754,,,,,,BIOL,2325,02,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,0600,0750,22,0,10,0,SET,215,,,
42986,,,,,,BIOL,2325,03,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1200,1350,23,0,10,0,SET,213,,,
42987,,,,,,BIOL,2325,04,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,F,0800,1200,24,0,10,0,SET,213,,,
40063,,,,,,BIOL,2325,05,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,0800,0950,23,0,10,0,SET,213,,,
40064,,,,,,BIOL,2325,06,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,0800,0950,24,0,10,0,SET,215,,,
40065,,,,,,BIOL,2325,07,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,1000,1150,24,0,10,0,SET,213,,,
40066,,,,,,BIOL,2325,08,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,1000,1150,23,0,10,0,SET,215,,,
40146,,,,,,BIOL,2325,09,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1000,1150,24,0,10,0,SET,213,,,
40147,,,,,,BIOL,2325,10,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1000,1150,24,0,10,0,SET,215,,,
40238,,,,,,BIOL,2325,11,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,1200,1350,24,0,10,0,SET,213,,,
40250,,,,,,BIOL,2325,12,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,1200,1350,24,0,10,0,SET,215,,,
43061,,,,,,BIOL,2325,13,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,0800,0950,24,0,10,0,SET,213,,,
40837,,,,,,BIOL,2325,14,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1200,1350,24,0,10,0,SET,215,,,
40945,,,,,,BIOL,2325,15,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,1400,1550,24,0,10,0,SET,213,,,
40946,,,,,,BIOL,2325,17,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1400,1550,24,0,10,0,SET,213,,,
40947,,,,,,BIOL,2325,18,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1400,1550,21,0,10,0,SET,215,,,
40948,,,,,,BIOL,2325,19,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,MW,1600,1750,24,0,10,0,SET,213,,,
40949,,,,,,BIOL,2325,20,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1600,1750,24,0,10,0,SET,215,,,
40213,,,,,,BIOL,2325,50,Human Anatomy Lab,A01,A,LBC,P,1,2,4,BA,,TR,1800,1950,23,0,10,0,SET,215,,,
40592,,,,,,BIOL,2400,01,"Plant Kingdom (LS, ALPP)",A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,24,0,10,0,SNOW,208,,,
40593,,,,,,BIOL,2405,01,Plant Kingdom Lab (ALPP),A01,A,LBC,P,1,1,3,BA,,T,1630,1920,24,0,10,0,SNOW,208,,,
40124,,,,,,BIOL,2420,01,Human Physiology,A01,A,LEC,P,1,3,3,BA,,MWF,0900,0950,69,0,10,0,COE,121,,,
40067,,,,,,BIOL,2420,02,Human Physiology,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,70,0,10,0,SET,301,,,
40327,,,,,,BIOL,2420,03,Human Physiology,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,70,0,10,0,BROWN,201,,,
41679,,,,,,BIOL,2420,04,Human Physiology,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,30,0,10,0,SET,301,,,
41525,,,,,,BIOL,2420,40,Human Physiology,O01,A,LEC,I,1,3,3,BA,,,,,50,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
40068,,,,,,BIOL,2425,01,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,T,0900,1050,23,0,10,0,SET,214,,,
40704,,,,,,BIOL,2425,02,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,W,0900,1050,24,0,10,0,SET,214,,,
40149,,,,,,BIOL,2425,03,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,R,0900,1050,24,0,10,0,SET,214,,,
40069,,,,,,BIOL,2425,04,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,F,0900,1050,24,0,10,0,SET,214,,,
40070,,,,,,BIOL,2425,05,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,T,1100,1250,24,0,10,0,SET,214,,,
40071,,,,,,BIOL,2425,06,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,W,1100,1250,24,0,10,0,SET,214,,,
40235,,,,,,BIOL,2425,07,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,R,1100,1250,24,0,10,0,SET,214,,,
40312,,,,,,BIOL,2425,08,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,T,1300,1450,24,0,10,0,SET,214,,,
40251,,,,,,BIOL,2425,09,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,W,1300,1450,24,0,10,0,SET,214,,,
40313,,,,,,BIOL,2425,10,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,R,1300,1450,24,0,10,0,SET,214,,,
40314,,,,,,BIOL,2425,11,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,R,1500,1650,24,0,10,0,SET,214,,,
42106,,,,,,BIOL,2425,13,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,W,1500,1650,24,0,10,0,SET,214,,,
40660,,,,,,BIOL,2425,50,Human Physiology Lab,A01,A,LBC,P,1,1,2,BA,,R,1700,1850,24,0,10,0,SET,214,,,
41783,,,,,,BIOL,2991R,01B,Careers in Biology,A01,A,LEC,B,7,1,1,BA,,W,1200,1250,20,0,10,0,SNOW,216,,,"BLENDED: In addition to the scheduled class time, portions of this course will be taught online."
41421,,,,,,BIOL,3000R,01B,Advanced Utah Health Scholars Students,A01,A,LEC,P,7,1,1,BA,,W,1600,1650,20,0,10,0,SET,418,,,
41425,,,,,,BIOL,3000R,40,Advanced Utah Health Scholars Students,O01,A,LEC,I,1,1,1,BA,,,,,15,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41426,,,,,,BIOL,3000R,41,Advanced Utah Health Scholars Students,O01,A,LEC,I,1,1,1,BA,,,,,10,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41856,,,,,,BIOL,3000R,42,Advanced Utah Health Scholars Students,O01,A,LEC,I,1,1,1,BA,,,,,15,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41424,,,,,,BIOL,3000R,43,Advanced Utah Health Scholars Students,O01,A,LEC,I,1,1,1,BA,,,,,10,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41859,,,,,,BIOL,3000R,43A,Advanced Utah Health Scholars Students,O01,A,LEC,I,6,1,1,BA,,,,,40,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
