CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist
20122,,,,,,CS,2450,1,Software Engineering,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,32,0,25,0,SMITH,109,
20169,,,,,,CS,2810,1,Computer Organization and Architecture,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,25,0,SMITH,109,
21754,,,,,,CS,2810,2,Computer Organization and Architecture,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,32,0,25,0,SMITH,109,
20251,,,,,,CS,3005,1,Programming in C++,A01,A,LEC,P,1,3,3,BA,,MWF,800,850,36,0,25,0,SMITH,116,
22347,,,,,,CS,3005,2,Programming in C++,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,36,0,25,0,SMITH,116,
21276,,,,,,CS,3150,1,Computer Networks,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,32,0,25,0,SMITH,109,
22668,,,,,,CS,3150,2,Computer Networks,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,32,0,10,0,SMITH,109,
20552,,,,,,CS,3410,1,Distributed Systems,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,32,0,25,0,SMITH,109,
20146,,,,,,CS,3510,1,Algorithms,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,32,0,25,0,SMITH,108,
22348,,,,,,CS,3510,2,Algorithms,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,32,0,25,0,SMITH,107,
20133,,,,,,CS,3600,1,Graphics Programming,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,24,0,25,0,SMITH,113,
20451,,,,,,CS,4307,1,Database Systems,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,32,0,25,0,SMITH,109,
20992,,,,,,CS,4320,1,Machine Learning,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,36,0,25,0,SMITH,116,
20118,,,,,,CS,4550,1,Compilers,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,24,0,25,0,SMITH,113,
20119,,,,,,CS,4600,1,Senior Project,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,30,0,25,0,SMITH,116,
21277,,,,,,CS,4600,2,Senior Project,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,5,0,25,0,SMITH,117,
21755,,,,,,CS,4800R,1,Undergraduate Research,A01,A,INV,P,1,1,0,BA,,,,,10,0,5,0,,,
22130,,,,,,CS,4800R,2,Undergraduate Research,A01,A,INV,P,1,1,0,BA,,,,,5,0,0,0,,,
22575,,,,,,CS,4800R,3,Undergraduate Research,A01,A,INV,P,1,1,0,BA,,,,,5,0,0,0,,,
22653,,,,,,CS,4800R,4,Undergraduate Research,A01,A,INV,P,1,1,0,BA,,,,,5,0,0,0,,,
20553,,,,,,CS,4920R,1,Internship,A01,A,INT,P,1,1,0,BA,,,,,10,0,0,0,,,
20981,,,,,,CS,4920R,01B,Internship,A01,A,INT,P,3,1,0,BA,9,,,,10,0,10,0,,,
21726,,,,,,CS,4920R,02B,Internship,A01,A,INT,P,3,1,0,BA,,,,,10,0,0,0,,,
20554,,,,,,CS,4991R,50,Competitive Programming,A01,A,LEC,P,1,0.5,0.5,BA,,R,1900,1950,36,0,25,0,SMITH,116,
21634,,,,,,CS,4992R,1,Computer Science Seminar,A01,A,LEC,P,1,1,1,BA,,F,1300,1350,32,0,25,0,SMITH,109,
20686,,,,,,IT,1100,1,Introduction to Unix/Linux,A01,A,LEC,P,1,3,3,BA,,TR,900,1015,23,0,25,0,SMITH,113,
21756,,,,,,IT,1100,2,Introduction to Unix/Linux,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,24,0,25,0,SMITH,113,
20281,,,,,,IT,1100,40,Introduction to Unix/Linux,O01,A,LEC,I,1,3,3,BA,,,,,39,0,24,0,ONLINE,,
20556,,,,,,IT,1200,1,A+ Computer Hardware/Windows OS,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,30,0,25,0,SMITH,107,
22019,,,,,,IT,1500,40A,Cloud Fundamentals,O01,A,LEC,I,2,1,1,BA,,,,,39,0,25,0,ONLINE,,
22086,,,,,,IT,1500,41B,Cloud Fundamentals,O01,A,LEC,I,3,1,1,BA,,,,,40,0,10,0,ONLINE,,
22021,,,,,,IT,2300,1,Database Design & Management,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,32,0,0,0,SMITH,109,
20120,,,,,,IT,2400,1,Intro to Networking,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,32,0,25,0,SMITH,107,
22350,,,,,,IT,2400,40,Intro to Networking,O01,A,LEC,I,1,3,3,BA,,,,,39,0,25,0,ONLINE,,
21757,,,,,,IT,2700,1,Information Security,A01,A,LEC,P,1,3,3,BA,,TR,900,1015,32,0,25,0,SMITH,107,
22018,,,,,,IT,3100,1,Systems Design and Administration,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,25,0,SMITH,107,
20121,,,,,,IT,3110,1,System Automation,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,32,0,25,0,SMITH,108,
20494,,,,,,IT,3150,1,Windows Servers,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,32,0,25,0,SMITH,107,
21131,,,,,,IT,3400,1,Intermediate Computer Networking,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,32,0,25,0,SMITH,107,
22549,,,,,,IT,3710,40,Network Defense,O01,A,LEC,I,1,3,3,BA,,,,,40,0,20,0,ONLINE,,
20999,,,,,,IT,4070,1,Data Visualization and Storytelling,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,6,0,10,0,UHB,200,
22349,,,,,,IT,4510,50,Ethical Hacking & Network Defense,A01,A,LEC,P,1,3,3,BA,,W,1800,2030,32,0,25,0,SMITH,108,
20128,,,,,,IT,4600,1,Senior Capstone,A01,A,LEC,P,1,3,3,BA,,MWF,800,850,32,0,25,0,SMITH,109,
22826,,,,,,IT,4910R,1,Special Topics in Applied Technology,A01,A,LEC,P,1,3,3,BA,,MWF,800,850,0,0,0,0,SMITH,108,
20558,,,,,,IT,4920R,1,Internship,A01,A,INT,P,1,1,0,BA,3,,,,1,0,0,0,,,
20982,,,,,,IT,4920R,01B,Internship,A01,A,INT,P,3,1,0,BA,,,,,10,0,0,0,,,
23018,,,,,,IT,4990,50,Special Topics in Information Technology,A01,A,LEC,P,1,0.5,0,BA,3,T,1800,2030,10,0,0,0,SMITH,108,
22486,,,,,,SD,6200,1,Multitier App Development I,A01,A,LEC,P,1,3,3,BA,,T,1630,1900,20,0,0,0,SMITH,117,
22487,,,,,,SD,6210,1,Tech Entrepreneurship,A01,A,LEC,P,1,3,3,BA,,R,1630,1745,20,0,0,0,SMITH,116,
22485,,,,,,SD,6220,1,Software Development Practices,A01,A,LEC,P,1,3,3,BA,,M,1630,1900,20,0,0,0,SMITH,117,
21559,,,,,,SE,1400,1,Web Design Fundamentals (ALCS),A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,24,0,25,0,SMITH,112,
21560,,,,,,SE,1400,40,Web Design Fundamentals (ALCS),O01,A,LEC,I,1,3,3,BA,,,,,38,0,10,0,ONLINE,,
21561,,,,,,SE,3010,1,Mobile Application Development for Android,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,24,0,25,0,SMITH,112,
21562,,,,,,SE,3100,1,Software Practices,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,32,0,25,0,SMITH,108,
21563,,,,,,SE,3200,1,Web Application Development I,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,25,0,SMITH,108,
22550,,,,,,SE,3400,40,Human-Computer Interaction,O01,A,LEC,I,1,3,3,BA,,,,,40,0,20,0,ONLINE,,
21564,,,,,,SE,3450,1,User Experience Design,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,24,0,25,0,SMITH,112,
21565,,,,,,SE,3500,1,Tech Entrepreneurship,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,32,0,25,0,SMITH,107,
21566,,,,,,SE,3550,1,Online Marketing and SEO (ALCS),A01,A,LEC,P,1,3,3,BA,,TR,900,1015,32,0,25,0,SMITH,109,
21567,,,,,,SE,4200,1,Web Application Development II,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,25,0,SMITH,117,
21568,,,,,,SE,4600,1,Senior Project,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,30,0,25,0,SMITH,117,
22213,,,,,,SE,4900R,1,Independent Research,A01,A,INV,P,1,1,0,BA,,,,,0,0,0,0,,,
21667,,,,,,SE,4920,1,Internship (ALPP),A01,A,INT,P,1,3,0,BA,,,,,10,0,0,0,,,
22551,,,,,,SE,4990,1,Special Topics in Software Engineering,A01,A,LEC,P,1,0.5,3,BA,,TR,1600,1715,0,0,0,0,SMITH,113,
